IndustryCode;interno;importado;ano;traded
G46;9,85330791673928e-01;1,46692083260717e-02;2009;FALSE
G47;9,94410206837102e-01;5,58979316289829e-03;2009;FALSE
H49;9,96678329986887e-01;3,32167001311288e-03;2009;FALSE
H50;9,88090354714177e-01;1,19096452858227e-02;2009;FALSE
H51;7,86836628184765e-01;2,13163371815235e-01;2009;TRUE
H52;9,46819574252205e-01;5,31804257477950e-02;2009;FALSE
H53;5,20605523683357e-18;1,00000000000000e+00;2009;TRUE
I;9,67265080192979e-01;3,27349198070211e-02;2009;FALSE
J58;9,61957093127654e-01;3,80429068723458e-02;2009;FALSE
J59;2,84058807767065e-01;7,15941192232935e-01;2009;TRUE
J61;9,97602077417457e-01;2,39792258254298e-03;2009;FALSE
J62;7,68228270074129e-01;2,31771729925871e-01;2009;TRUE
K64;9,82992443902396e-01;1,70075560976039e-02;2009;FALSE
K65;4,55045703404735e-18;1,00000000000000e+00;2009;TRUE
K66;8,29592970570836e-18;1,00000000000000e+00;2009;TRUE
L68;9,96025266903511e-01;3,97473309648932e-03;2009;FALSE
M69;9,36021107356327e-01;6,39788926436731e-02;2009;FALSE
M71;9,86211055998552e-01;1,37889440014484e-02;2009;FALSE
M72;7,57535293866631e-01;2,42464706133369e-01;2009;TRUE
M73;6,32772383660703e-18;1,00000000000000e+00;2009;TRUE
M74;1,35016785566661e-17;1,00000000000000e+00;2009;TRUE
N;8,61976430766351e-01;1,38023569233649e-01;2009;TRUE
O84;9,74339055741620e-01;2,56609442583795e-02;2009;FALSE
P85;9,98291189588736e-01;1,70881041126426e-03;2009;FALSE
Q;9,99445457604111e-01;5,54542395889386e-04;2009;FALSE
R_S;9,82802188141150e-01;1,71978118588505e-02;2009;FALSE
T;9,99987844828973e-01;1,21551710267432e-05;2009;FALSE
U;5,00000000000000e-01;5,00000000000000e-01;2009;TRUE
A01;9,71065344507060e-01;2,89346554929396e-02;2018;FALSE
A02;9,97862155635357e-01;2,13784436464343e-03;2018;FALSE
A03;8,07183085028257e-01;1,92816914971743e-01;2018;TRUE
B;7,56500741809114e-01;2,43499258190886e-01;2018;TRUE
C10;9,47108497739786e-01;5,28915022602141e-02;2018;FALSE
C13;8,91738288298184e-01;1,08261711701816e-01;2018;TRUE
C16;9,57715466017113e-01;4,22845339828872e-02;2018;FALSE
C17;9,75971779194351e-01;2,40282208056488e-02;2018;FALSE
C18;9,53968355972896e-01;4,60316440271036e-02;2018;FALSE
C19;8,90028307286866e-01;1,09971692713134e-01;2018;TRUE
C20;9,50724510458377e-01;4,92754895416233e-02;2018;FALSE
C21;7,28381555151722e-01;2,71618444848278e-01;2018;TRUE
